Months  MTHS
Maturity  MAT
Rule  Rule 
Capitalize  CAPTLZ
PS  PS 
Swift  Swift 
Preferential  PREF
ref  ref 
Party  Party 
Up  Up 
Calendar  CAL
Reference REF 
Chrg.  Chrg. 
Eligible ELGBL
Allowed  ALWD
Payment  PYMT
Required REQ
Period Period
Cap(pcnt) CPCNT
Amt  Amt 
Upto  Upto 
Accrued  ACCRD
Recalc  RECALC
Prenotification  PRENOT
Charge  CHG
Name Name
Overdraft  OVDRFT
Statment  STMT
Statement  STMT
Forward  FWD
Protection  PROT
Start  Start 
Closure  CLSRE
Pcnt Pcnt
Agency  AGCY
required  REQ
Marking  MRK
Period(MMM) PRD
Bill  Bill 
During  DRG
Graduation  GRAD
Benefit  BNFT
Association  ASSOC
Bank  Bank 
Paysys  PYSYS
Branch  BRN
Customer  CUST
Indicator INDCTR
Status Status
Status  
Based  Based 
Starting  STRTG
Days  Days 
Security  SEC
Usage  Usage 
Usage Usage
Tax Tax
Insurance  INSR
Value  Value 
by by
Lease  Lease 
Cancellation  CANC
Future  
Allowed ALWD
Validity  VALD
Provided  PRVD
Grace  Grace 
Auto  Auto 
Ahead  Ahead 
Head  Head 
3 3
Operative  OPER 
principal  PRIN
Previous  PREV
Calculation  CALC
Transfer  TRF
Pd  Pd 
Principle PPL
Pending  PNDG
collected  COLL
instalments  INSTL
the  the 
Combined  CMBD
String String
1 1
2 2
4 4
5 5
6 6
7 7
8 8
9 9
10 10
file  file 
Percen Percen
Collection  COLL
Frequency FQY
Basis Basis
after  after 
deferments  DRFMNT
Not  Not 
Reason  RSN
Indicator  INDCTR
Oper  Oper 
Term  Term 
Percent  PCT
Ratio Ratio
Method  METH
Turn  Turn 
top  top 
Product  PROD
Adjusting  ADJST
Demands DMD
Combination CMBN
Deferment DEF
(Number  NMBR
Fees Fees
Freq  Freq 
Percent PCT
Version VER
Phone  Phone 
Email  Email 
Recovery REC
base  base 
End  End 
Term Term
Threshold(Pcnt.) THPCNT
Date  Date 
Before  BFR
Off Off
Unamortized  UNAMORT
Next  Next 
Missed  MSD
Applicable APBL
(MM) (MM)
A  A 
Stay  Stay 
Release REL 
From  From 
Deposit DPST
Premium PRM
Rents Rents
Period(Months) PRD
Period(Days) PRD
Begin  Begin 
Months Months
Days Days
Schedule SDLE
GL  GL 
counter CTR
pricipal  PRIN
deferments DFRMNT
Outstanding OTSTD
case  case 
Switch  SWTH
up up
Tenor  Tenor 
every  every 
Prepayment PRPYMT
Rephasement RPHASE
Dr Dr
Protection PROT
Payments  PYMT
and  and 
c c
c  c 
School  SCHL
First  First 
Option Option
accpeted  ACPT
at  at 
Payments PYMT
current  CRNT
Over Over
Differential  DIFFER
or  or 
Rel  Rel 
processing PROC
Deferment  DFRMNT
Last  Last 
(MMM) (MMM)
(DDD) (DDD)
month  month 
deman  deman 
repayment  RPYMT
Holidays HOL
Installments INSTL
Amt. Amt.
Change Change
Flg Flg
Party Party
Cost  Cost 
Broken  BRKN
months) MTHS
From From
